bacteria.names,n.hosts,bacteria.phbs,motility,gram,spore,oxygen,zoonotic,cell,bacteria.phbs.no.human,family,genus,vector.borne,Nucleotide.records,Nucleotide.records.log,PHB.max,PHB.mean,PHB.median,PubMed.records.log,SRA.records.log
Clostridium botulinum,68,0.504599144343986,Motile,Gram-positive,Yes,Anaerobic,Zoonotic,Extracellular,0.494360417290276,Clostridiaceae,Clostridium,No,60540,4.78204241662055,1.0403352,0.494360417290276,0.3939646,3.56749689110422,2.53402610605613
Escherichia coli,56,0.680180080184416,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.676389754865454,Enterobacteriaceae,Escherichia,No,2136229,6.32964780645837,1.4396084,0.676389754865454,0.6705465,5.42104260056271,4.63689892750691
Erysipelothrix rhusiopathiae,52,0.711718742834238,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.708407352086274,Erysipelotrichaceae,Erysipelothrix,No,471,2.6730209071289,1.632264,0.708407352086274,0.7767623,2.90200289135073,2.16136800223497
Aeromonas salmonicida,50,0.525129365074449,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.507069018658503,Aeromonadaceae,Aeromonas,No,10657,4.02763496577754,0.760475,0.507069018658503,0.54420084,2.97358962342726,0.903089986991944
Yersinia pestis,48,0.572961112061879,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.570622655027197,Yersiniaceae,Yersinia,Yes,374820,5.57382275632967,1.3515813,0.570622655027197,0.5940704,3.52698506856,2.67209785793572
Edwardsiella tarda,45,0.737252791612929,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.731841591167653,Hafniaceae,Edwardsiella,No,3121,3.49429376866533,1.1411997,0.731841591167653,0.8405104,2.94398887507377,1.30102999566398
Clostridium perfringens,44,0.686407234102431,Non-motile,Gram-positive,Yes,Anaerobic,Zoonotic,Extracellular,0.687217142219934,Clostridiaceae,Clostridium,No,10465,4.01973923267471,1.4775985,0.687217142219934,0.6605976,3.85660806843694,2.41830129131975
Leptospira interrogans,44,0.564053387704863,Motile,Gram-negative,No,Aerobic,Zoonotic,Extracellular,0.562501327981395,Leptospiraceae,Leptospira,No,153312,5.18557614917805,1.620759,0.562501327981395,0.54692638,3.26054837263698,2.56937390961505
Salmonella enterica subsp. enterica,44,0.76939536070962,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.76838590547309,Enterobacteriaceae,Salmonella,No,879326,5.94414991461106,1.4643275,0.76838590547309,0.81980313,2.87040390527903,4.68155779503768
Staphylococcus aureus,42,0.614684791569802,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,,0.614653904273171,Staphylococcaceae,Staphylococcus,No,1207504,6.08188857807784,1.0093124,0.614653904273171,0.58377255,4.99099113861153,4.58682351462358
Pseudomonas aeruginosa,41,0.747099418443902,Motile,Gram-negative,No,Aerobic,Zoonotic,Extracellular,0.745729406340897,Pseudomonadaceae,Pseudomonas,No,813153,5.91017226860036,1.1122688,0.745729406340897,0.80913495,4.74196268004881,3.75981887737483
Anaplasma phagocytophilum,40,0.530538144309231,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Obligate intracellular,0.52690292171444,Anaplasmataceae,Anaplasma,Yes,12253,4.08824243351157,1.4526664,0.52690292171444,0.519446,3.19451434188247,1.75587485567249
Listeria monocytogenes,38,0.618553596097582,Motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.618635187965165,Listeriaceae,Listeria,No,123494,5.09164585775608,1.0151892,0.618635187965165,0.6020029,4.23653726148869,4.12188798510368
Borreliella burgdorferi,37,0.661385904174775,Motile,Gram-negative,No,Microaerophilic,Zoonotic,Extracellular,0.659708761169048,Borreliaceae,Borreliella,Yes,20662,4.31517235720899,1.2044114,0.659708761169048,0.6008348,1.14612803567824,2.75127910398334
Campylobacter jejuni,37,0.578316735006607,Motile,Gram-negative,No,Microaerophilic,Zoonotic,Facultative intracellular,0.562770251411111,Campylobacteraceae,Campylobacter,No,103066,5.01311542136824,1.1407128,0.562770251411111,0.4548978,3.88507838414922,3.97497199429807
Mycoplasma gallisepticum,37,0.336470744878078,Motile,Lack cell wall,No,Facultatively anaerobic,Not zoonotic,Extracellular,0.336470744878078,Mycoplasmataceae,Mycoplasma,No,4042,3.60659630917928,0.8012978,0.336470744878078,0.3046466,3.12385164096709,1.92941892571429
Burkholderia pseudomallei,36,0.655200794739683,Motile,Gram-negative,No,Aerobic,Zoonotic,Facultative intracellular,0.65926329204437,Burkholderiaceae,Burkholderia,No,105542,5.02342531971351,1.1929503,0.65926329204437,0.6378976,3.36586221540255,3.26434550705009
Rickettsia rickettsii,36,0.74254065537381,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Obligate intracellular,0.741593057748235,Rickettsiaceae,Rickettsia,Yes,863,2.93601079571521,2.059024,0.741593057748235,0.7987162,2.8561244442423,0.477121254719662
Mycobacterium marinum,35,0.704459588752941,Non-motile,Gram-positive,No,Aerobic,Zoonotic,Extracellular,0.690261404449198,Mycobacteriaceae,Mycobacterium,No,535,2.72835378202123,1.12172123,0.690261404449198,0.6826728,3.05804623039528,1.69019608002851
Salmonella enterica subsp. diarizonae,34,0.719636168427986,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.703295011709091,Enterobacteriaceae,Salmonella,No,2909,3.46374372124706,1.2899927536,0.703295011709091,0.7441717,1.17609125905568,2.27415784926368
Trueperella pyogenes,32,0.506327584265726,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,,0.498625496245161,Actinomycetaceae,Trueperella,No,1098,3.04060234011407,1.40755,0.498625496245161,0.390431266,2.17026171539496,0.602059991327962
[Clostridium] piliforme,30,0.637827224308046,Motile,Gram-negative,Yes,Anaerobic,Zoonotic,,0.638983111251232,Lachnospiraceae,Tyzzerella,No,0,-Inf,1.4643275,0.638983111251232,0.6071679,1.65321251377534,0
Yersinia intermedia,28,0.701219427927513,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.693898785899715,Yersiniaceae,Yersinia,No,2347,3.37051308959859,1.4255467,0.693898785899715,0.7781524,1.93449845124357,0.845098040014257
Mycobacterium tuberculosis,26,0.693587132692308,Non-motile,Gram-positive,No,Aerobic,Zoonotic,Facultative intracellular,0.698838425466667,Mycobacteriaceae,Mycobacterium,No,1050909,6.02156511135756,1.80330975,0.698838425466667,0.618868015,4.67102465727241,4.39915433395822
Streptococcus iniae,25,0.618506664976,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,,0.587123539422464,Streptococcaceae,Streptococcus,No,1911,3.28126068705501,1.2345498,0.587123539422464,0.51971645,2.67394199863409,0.698970004336019
Flavobacterium psychrophilum,24,0.412215638786232,Motile,Gram-negative,No,Aerobic,Not zoonotic,,0.412215638786232,Flavobacteriaceae,Flavobacterium,No,11413,4.05739981726606,0.736309,0.412215638786232,0.43677083645,2.50514997831991,0.954242509439325
Dermatophilus congolensis,23,0.683061972467984,Motile,Gram-positive,Yes,Aerobic,Zoonotic,,0.684209674541991,Dermatophilaceae,Dermatophilus,Yes,52,1.7160033436348,2.062476,0.684209674541991,0.5722226,2.35024801833416,0.301029995663981
Brucella abortus,22,0.342644800669697,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Facultative intracellular,0.320481808638095,Brucellaceae,Brucella,No,10920,4.03822263836872,0.4800069,0.320481808638095,0.3479289,3.56631962152481,2.77815125038364
Streptococcus agalactiae,21,0.755627003428571,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,Extracellular,0.744887950705263,Streptococcaceae,Streptococcus,No,163242,5.21283190700079,1.07518625,0.744887950705263,0.7813888,3.52270499273475,3.74663419893758
Tenacibaculum maritimum,21,0.497437638095238,Motile,Gram-negative,No,Aerobic,Not zoonotic,,0.497437638095238,Flavobacteriaceae,Tenacibaculum,No,1022,3.00945089579869,0.695302,0.497437638095238,0.50367795,1.77815125038364,0.477121254719662
Streptococcus dysgalactiae,20,0.697247519433684,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,,0.688557807560234,Streptococcaceae,Streptococcus,No,4624,3.66501782541247,1.0320342,0.688557807560234,0.81592817,2.84385542262316,2.63548374681491
Yersinia frederiksenii,20,0.681563086675789,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.669511114414035,Yersiniaceae,Yersinia,No,2716,3.43392976560846,1.0285969,0.669511114414035,0.78148338,1.80617997398389,0.845098040014257
Bordetella bronchiseptica,19,0.526022626645614,Motile,Gram-negative,No,Aerobic,Zoonotic,Extracellular,0.523345860043137,Alcaligenaceae,Bordetella,No,16741,4.22378139639981,0.6865287,0.523345860043137,0.5550806,3.09725730969342,2.14301480025409
Chlamydia abortus,19,0.466807151080702,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Obligate intracellular,0.449026958275817,Chlamydiaceae,Chlamydia,No,317,2.50105926221775,1.0033581,0.449026958275817,0.32285997,2.02938377768521,1.90848501887865
Citrobacter freundii,19,0.698603938035088,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.686599165856209,Enterobacteriaceae,Citrobacter,No,22107,4.34452981124245,1.0132179,0.686599165856209,0.7378399551,3.27438879555038,2.19589965240923
Mycobacterium genavense,19,0.643748817192982,Non-motile,Gram-positive,No,Aerobic,Zoonotic,Extracellular,0.628965133071895,Mycobacteriaceae,Mycobacterium,No,108,2.03342375548695,1.0093952,0.628965133071895,0.77173544,2.19589965240923,0.301029995663981
Corynebacterium pseudotuberculosis,18,0.514268033223529,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.506258314070588,Corynebacteriaceae,Corynebacterium,Yes,1482,3.17084820364331,1.4643275,0.506258314070588,0.377741335,2.73158876518674,1.17609125905568
Mycobacterium chelonae,18,0.797726138901961,Non-motile,Gram-positive,No,Aerobic,Zoonotic,Extracellular,0.798085321294118,Mycobacteriaceae,Mycobacterium,No,3541,3.54912592675811,1.2145017,0.798085321294118,0.821083833,2.92788341033071,1.54406804435028
Nocardia seriolae,18,0.560115580653595,Non-motile,Gram-positive,No,Aerobic,Not zoonotic,,0.560115580653595,Nocardiaceae,Nocardia,No,2175,3.33745926129066,1.77229372,0.560115580653595,0.4318063,1.61278385671974,0.477121254719662
Photobacterium damselae,18,0.67259379869281,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.640375205882353,Vibrionaceae,Photobacterium,No,2395,3.37930551775058,1.17072945,0.640375205882353,0.5738638,2.47856649559384,0.301029995663981
Salmonella enterica subsp. arizonae,18,0.728796097330719,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.718196009976471,Enterobacteriaceae,Salmonella,No,845,2.92685670894969,1.0343844,0.718196009976471,0.774752535,1.36172783601759,2.30102999566398
Vibrio harveyi,18,0.614570116061438,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.564863345552941,Vibrionaceae,Vibrio,No,33613,4.52650727549542,0.8503783,0.564863345552941,0.5494053,3.14736710779379,1.11394335230684
Corynebacterium ulcerans,17,0.505611948235294,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,,0.505020158541667,Corynebacteriaceae,Corynebacterium,No,1004,3.001733712809,0.71204908,0.505020158541667,0.5723502345,2.28780172993023,0.954242509439325
Mycobacterium kansasii,17,0.613088257305882,Non-motile,Gram-positive,No,Aerobic,Zoonotic,Extracellular,0.617661553595833,Mycobacteriaceae,Mycobacterium,No,2208,3.34399906905716,1.5318989,0.617661553595833,0.5875141254,3.05192391604611,1.32221929473392
Ornithobacterium rhinotracheale,17,0.339400435788235,Non-motile,Gram-negative,No,Facultatively anaerobic,Not zoonotic,,0.339400435788235,Flavobacteriaceae,Ornithobacterium,No,372,2.5705429398819,0.4692629922,0.339400435788235,0.3581736461,2.19033169817029,0.602059991327962
Rhodococcus equi,17,0.523181247482353,Non-motile,Gram-positive,No,Aerobic,Zoonotic,,0.513223805658333,Nocardiaceae,Rhodococcus,No,1733,3.23879856271392,1.0442006,0.513223805658333,0.436702533,3.07040732174012,0.954242509439325
Vibrio anguillarum,17,0.461692909411765,Motile,Gram-negative,No,Facultatively anaerobic,Not zoonotic,,0.461692909411765,Vibrionaceae,Vibrio,No,4148,3.617838747717,0.680358,0.461692909411765,0.514522415,3.09725730969342,1.64345267648619
Yersinia kristensenii,17,0.673376024705882,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.663618959583333,Yersiniaceae,Yersinia,No,1512,3.17955179116519,0.99221766,0.663618959583333,0.79815678,1.79239168949825,0.954242509439325
Clostridioides difficile,16,0.57307453575,Motile,Gram-positive,Yes,Anaerobic,Zoonotic,,0.569016722895238,Peptostreptococcaceae,Clostridioides,No,737388,5.86769606576781,0.924865,0.569016722895238,0.5465955,2.63648789635337,3.74138799247927
Clostridium tetani,16,0.586424311616667,Motile,Gram-positive,Yes,Anaerobic,Zoonotic,Extracellular,0.587832919375238,Clostridiaceae,Clostridium,No,1835,3.26363606858811,1.442955,0.587832919375238,0.5785128,2.77305469336426,0.477121254719662
Fusobacterium necrophorum,16,0.54624470495,Non-motile,Gram-negative,No,Anaerobic,Zoonotic,,0.533380366232381,Fusobacteriaceae,Fusobacterium,No,6828,3.8342935124427,1.3919287,0.533380366232381,0.37280991,2.95375969173323,1.30102999566398
Mycobacterium fortuitum,16,0.910902273125,Non-motile,Gram-positive,No,Aerobic,Zoonotic,Extracellular,0.916125543714286,Mycobacteriaceae,Mycobacterium,No,8119,3.90950254140542,1.559566079,0.916125543714286,0.932832766,3.11226976841727,1.6232492903979
Nocardia asteroides,16,0.717478268666667,Non-motile,Gram-positive,No,Aerobic,Zoonotic,,0.721909079276191,Nocardiaceae,Nocardia,No,357,2.55266821611219,1.0987008,0.721909079276191,0.81921217,3.02448566769917,0.301029995663981
Streptococcus equi,16,0.551589028966667,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,,0.553945726453333,Streptococcaceae,Streptococcus,No,41957,4.62280442780503,0.9398272,0.553945726453333,0.5954801,2.79726754083072,2.82542611776782
Anaplasma bovis,15,0.464478316327619,Non-motile,Gram-negative,No,Aerobic,Not zoonotic,Obligate intracellular,0.464478316327619,Anaplasmataceae,Anaplasma,Yes,217,2.33645973384853,0.6518574,0.464478316327619,0.4939205,1.94448267215017,0
Pasteurella pneumotropica,15,0.449660492100952,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.427344171128571,Pasteurellaceae,Pasteurella,No,225,2.35218251811136,0.69191195,0.427344171128571,0.410291,2.29885307640971,0.301029995663981
Pseudomonas anguilliseptica,15,0.484276979238095,Motile,Gram-negative,No,Aerobic,Not zoonotic,,0.484276979238095,Pseudomonadaceae,Pseudomonas,No,157,2.19589965240923,0.6559855,0.484276979238095,0.5100844,1.43136376415899,0.477121254719662
Staphylococcus sciuri,15,0.501104226144762,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,,0.489976299048352,Staphylococcaceae,Staphylococcus,No,2956,3.47070442972279,0.86753125,0.489976299048352,0.48691893,2.36735592102602,1.56820172406699
Aeromonas sobria,14,0.612206049874725,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.565890834184615,Aeromonadaceae,Aeromonas,No,874,2.9415114326344,1.05295695,0.565890834184615,0.56876315,2.52244423350632,0.698970004336019
Chlamydia pneumoniae,14,0.75311077427033,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Obligate intracellular,0.73996398905641,Chlamydiaceae,Chlamydia,No,9023,3.95535095736766,1.0367504,0.73996398905641,0.7531567,3.5864747785714,1.17609125905568
Flavobacterium columnare,14,0.601707761607692,Motile,Gram-negative,No,Aerobic,Not zoonotic,,0.601707761607692,Flavobacteriaceae,Flavobacterium,No,652,2.81424759573192,1.5364296,0.601707761607692,0.5375857551,2.44090908206522,1.04139268515823
Chromobacterium violaceum,13,0.646184064358974,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.662074933106061,Chromobacteriaceae,Chromobacterium,No,2486,3.39550112430563,1.1550561,0.662074933106061,0.6589891,2.92064500140679,0.903089986991944
Mycobacterium microti,13,0.50727789254359,Non-motile,Gram-positive,No,Aerobic,Zoonotic,Extracellular,0.494740572730303,Mycobacteriaceae,Mycobacterium,No,72,1.85733249643127,0.7317684922,0.494740572730303,0.5051141,2.17318626841227,0.602059991327962
Plesiomonas shigelloides,13,0.588880339938461,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.586224665993939,unclassified,Plesiomonas,No,1047,3.01994668167884,0.90932867,0.586224665993939,0.566987268,2.68574173860226,0.845098040014257
Bordetella avium,12,0.442124594790909,Motile,Gram-negative,No,Aerobic,Zoonotic,Extracellular,0.350139266218182,Alcaligenaceae,Bordetella,No,347,2.54032947479087,0.5357716,0.350139266218182,0.3524335,2.2405492482826,0.301029995663981
Ehrlichia ruminantium,12,0.406583625993939,Non-motile,Gram-negative,No,Aerobic,Not zoonotic,Obligate intracellular,0.406583625993939,Anaplasmataceae,Ehrlichia,Yes,3632,3.56014583984905,1.402918,0.406583625993939,0.224569185,2.29003461136252,0.301029995663981
Leptospira borgpetersenii,12,0.528994116909091,Motile,Gram-negative,No,Aerobic,Zoonotic,Extracellular,0.520078837454546,Leptospiraceae,Leptospira,No,9617,3.9830396160461,0.6700425,0.520078837454546,0.57024603,2.1846914308176,1.56820172406699
Leptospira kirschneri,12,0.465143035518182,Motile,Gram-negative,No,Aerobic,Zoonotic,Extracellular,0.446969631309091,Leptospiraceae,Leptospira,No,9735,3.98833595585605,0.6406948922,0.446969631309091,0.4783718,1.89209460269048,1.60205999132796
Neorickettsia helminthoeca,12,0.716709027272727,Non-motile,Gram-negative,No,Aerobic,Not zoonotic,Obligate intracellular,0.716709027272727,Anaplasmataceae,Neorickettsia,Yes,14,1.14612803567824,1.5886976,0.716709027272727,0.7158205,1.47712125471966,1
Stenotrophomonas maltophilia,12,0.709141129787879,Motile,Gram-negative,No,Aerobic,Zoonotic,,0.705167992,Xanthomonadaceae,Stenotrophomonas,No,54891,4.73950114279703,1.05847915,0.705167992,0.83625857,3.36379994547911,2.86213137931304
Yersinia ruckeri,12,0.520483371469697,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.441415217636364,Yersiniaceae,Yersinia,No,9280,3.96754797621886,0.6481924,0.441415217636364,0.48330098,2.56110138364906,2.02530586526477
Anaplasma marginale,11,0.578742535636364,Non-motile,Gram-negative,No,Aerobic,Not zoonotic,Obligate intracellular,0.578742535636364,Anaplasmataceae,Anaplasma,Yes,6162,3.78972169398092,2.059024,0.578742535636364,0.23422538,3.06145247908719,1.23044892137827
Clostridium septicum,11,0.597414723963636,Motile,Gram-positive,Yes,Anaerobic,Zoonotic,Extracellular,0.599866424137778,Clostridiaceae,Clostridium,No,1269,3.1034616220947,0.9294462422,0.599866424137778,0.573564266,2.7160033436348,0.301029995663981
Edwardsiella ictaluri,11,0.482954690909091,Motile,Gram-negative,No,Facultatively anaerobic,Not zoonotic,Facultative intracellular,0.482954690909091,Hafniaceae,Edwardsiella,No,1107,3.04414762087872,0.763424,0.482954690909091,0.4943218,2.46834733041216,0
Escherichia albertii,11,0.421957205,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.309343251055556,Enterobacteriaceae,Escherichia,No,8294,3.918764031028,0.46079364,0.309343251055556,0.323926,1.86923171973098,1.98677173426624
Lactococcus garvieae,11,0.712707384727273,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,,0.681640622088889,Streptococcaceae,Lactococcus,No,2740,3.43775056282039,1.019252566,0.681640622088889,0.6022395,2.51719589794997,0.903089986991944
Shigella flexneri,11,0.329927354545455,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,Facultative intracellular,0.338773024444444,Enterobacteriaceae,Shigella,No,87511,4.94206264661137,0.702111,0.338773024444444,0.3315209,3.55266821611219,3.48000694295715
Actinobacillus equuli,10,0.502342515111111,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.498829371111111,Pasteurellaceae,Actinobacillus,No,72,1.85733249643127,0.6811725,0.498829371111111,0.517569135,1.86332286012046,0.301029995663981
Aeromonas caviae,10,0.640626417822222,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.591253139555556,Aeromonadaceae,Aeromonas,No,3724,3.57100967230931,0.9567875,0.591253139555556,0.58442684,2.60959440922522,1.27875360095283
Brachyspira pilosicoli,10,0.6313312524,Motile,Gram-negative,No,Anaerobic,Zoonotic,,0.605422813777778,Brachyspiraceae,Brachyspira,No,283,2.45178643552429,0.8871,0.605422813777778,0.773418541,2.24551266781415,0.698970004336019
Brucella melitensis,10,0.459384652586667,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Facultative intracellular,0.423688406577778,Brucellaceae,Brucella,Yes,8356,3.92199843130827,0.9526980536,0.423688406577778,0.3544636068,3.29907126002741,2.31175386105575
Mycobacterium caprae,10,0.378757495053333,Non-motile,Gram-positive,No,Aerobic,Zoonotic,,0.332350213022222,Mycobacteriaceae,Mycobacterium,No,158,2.19865708695442,0.5243405,0.332350213022222,0.3373871881,1.88081359228079,1.84509804001426
Mycobacterium ulcerans,10,0.597324900888889,Non-motile,Gram-positive,No,Microaerophilic,Zoonotic,Extracellular,0.583175935555556,Mycobacteriaceae,Mycobacterium,No,1535,3.18610837981321,0.84195825,0.583175935555556,0.636196795,2.97451169273733,2.80955971463527
Streptobacillus moniliformis,10,0.661160450217778,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.678245558266667,Leptotrichiaceae,Streptobacillus,No,10684,4.02873387934934,0.9676346922,0.678245558266667,0.66233472,2.36361197989214,0.845098040014257
Acinetobacter baumannii,9,0.690016141333333,Non-motile,Gram-negative,No,Aerobic,Zoonotic,,0.689956660785714,Moraxellaceae,Acinetobacter,No,603367,5.78058155358538,1.0398948,0.689956660785714,0.789325935,3.89608508542329,3.6773331514199
Arcanobacterium phocae,9,0.345095171111111,Non-motile,Gram-positive,No,Facultatively anaerobic,Not zoonotic,,0.345095171111111,Actinomycetaceae,Arcanobacterium,No,30,1.47712125471966,0.53453155,0.345095171111111,0.3440301,1.23044892137827,0.698970004336019
Bartonella grahamii,9,0.3629383316,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Facultative intracellular,0.30002022305,Bartonellaceae,Bartonella,Yes,667,2.82412583391655,0.4053180922,0.30002022305,0.3396922,1.60205999132796,0.301029995663981
Bartonella henselae,9,0.325342277777778,Motile,Gram-negative,No,Aerobic,Zoonotic,Facultative intracellular,0.252737216071429,Bartonellaceae,Bartonella,Yes,1492,3.17376882313665,0.5935096,0.252737216071429,0.14110825,3.16967443405881,1.32221929473392
Bartonella washoensis,9,0.359915332355556,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Facultative intracellular,0.286715241757143,Bartonellaceae,Bartonella,Yes,289,2.46089784275655,0.4130459556,0.286715241757143,0.33620906,1.07918124604762,0.698970004336019
Borreliella afzelii,9,0.506508191177778,Motile,Gram-negative,No,Microaerophilic,Zoonotic,Extracellular,0.481851824003571,Borreliaceae,Borreliella,Yes,4193,3.62252486240357,0.6916884,0.481851824003571,0.5433942982,0.477121254719662,2.33445375115093
Brucella ceti,9,0.275603408888889,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Facultative intracellular,0.181266336785714,Brucellaceae,Brucella,No,1197,3.07809415040641,0.30444894,0.181266336785714,0.184884895,1.64345267648619,1.77085201164214
Brucella suis,9,0.406859997133333,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Facultative intracellular,0.368277578917857,Brucellaceae,Brucella,No,5248,3.7199938263676,0.5600207,0.368277578917857,0.34244009405,2.79098847508882,2.2405492482826
Cetobacterium somerae,9,0.547932474466667,Non-motile,Gram-negative,No,Microaerophilic,Zoonotic,,0.442307937346429,Fusobacteriaceae,Cetobacterium,No,571,2.75663610824585,0.6122917,0.442307937346429,0.46321859,1.04139268515823,0
Clostridium chauvoei,9,0.778008086577778,Motile,Gram-positive,Yes,Anaerobic,Zoonotic,Extracellular,0.786631054542857,Clostridiaceae,Clostridium,No,92,1.96378782734556,1.4246832,0.786631054542857,0.8569738598,2.17897694729317,0.301029995663981
Elizabethkingia meningoseptica,9,0.759700691111111,Non-motile,Gram-negative,No,Aerobic,Zoonotic,,0.730816038214286,Flavobacteriaceae,Elizabethkingia,No,733,2.86510397464113,0.95017565,0.730816038214286,0.795855475,2.11058971029925,1.25527250510331
Enterococcus hirae,9,0.654094266666667,Non-motile,Gram-positive,No,Facultatively anaerobic,Zoonotic,Extracellular,0.635027998214286,Enterococcaceae,Enterococcus,No,5063,3.70440792738684,0.88554215,0.635027998214286,0.7726755,2.72345567203519,1.53147891704226
